Country,Year,Crop,Area_Harvested,Production_Tonnes,Yield_Tonnes_Ha,Avg_Temp,Temp_Volatility,GDP_current_US,political_stability_estimate,Inflation,CO2_emisions,Agri_Land_Percent,Forest_Land_Percent,population
Afghanistan,1961,cereals_rice_milled_eqv,3313500.0,3588772.0,1.083,13.81721875,9.59507638674306,548888895.555556,-2.41730952262878,12.6862687216715,2046.87,57.878355794735,1.85278199408184,8790140.0
Afghanistan,1961,maize,500000.0,700000.0,1.4,13.81721875,9.59507638674306,548888895.555556,-2.41730952262878,12.6862687216715,2046.87,57.878355794735,1.85278199408184,8790140.0
Afghanistan,1962,cereals_rice_milled_eqv,3425500.0,3589772.0,1.0479,13.61515625,9.123967183457127,546666677.777778,-2.41730952262878,12.6862687216715,2046.87,57.9550158686353,1.85278199408184,8969047.0
Afghanistan,1962,maize,500000.0,700000.0,1.4,13.61515625,9.123967183457127,546666677.777778,-2.41730952262878,12.6862687216715,2046.87,57.9550158686353,1.85278199408184,8969047.0
Afghanistan,1963,cereals_rice_milled_eqv,3426500.0,3271772.0,0.9548,14.69534375,8.855199062612135,751111191.111111,-2.41730952262878,12.6862687216715,2046.87,58.0316759425356,1.85278199408184,9157465.0
Afghanistan,1963,maize,500000.0,713000.0,1.4260000000000002,14.69534375,8.855199062612135,751111191.111111,-2.41730952262878,12.6862687216715,2046.87,58.0316759425356,1.85278199408184,9157465.0
Afghanistan,1964,cereals_rice_milled_eqv,3446500.0,3605459.0,1.0461,13.062479166666668,10.002513516721333,800000044.444444,-2.41730952262878,12.6862687216715,2046.87,58.1160020238259,1.85278199408184,9355514.0
Afghanistan,1964,maize,505000.0,720000.0,1.4257,13.062479166666668,10.002513516721333,800000044.444444,-2.41730952262878,12.6862687216715,2046.87,58.1160020238259,1.85278199408184,9355514.0
Afghanistan,1965,cereals_rice_milled_eqv,3444500.0,3658459.0,1.0621,13.683583333333331,8.920905881150798,1006666637.77778,-2.41730952262878,12.6862687216715,2046.87,58.123668031216,1.85278199408184,9565147.0
Afghanistan,1965,maize,500000.0,720000.0,1.4400000000000002,13.683583333333331,8.920905881150798,1006666637.77778,-2.41730952262878,12.6862687216715,2046.87,58.123668031216,1.85278199408184,9565147.0
Afghanistan,1966,cereals_rice_milled_eqv,3446500.0,3376778.0,0.9797,14.04775,8.779287115286273,1399999966.66667,-2.41730952262878,12.6862687216715,2046.87,58.1926620977263,1.85278199408184,9783147.0
Afghanistan,1966,maize,500000.0,720000.0,1.4400000000000002,14.04775,8.779287115286273,1399999966.66667,-2.41730952262878,12.6862687216715,2046.87,58.1926620977263,1.85278199408184,9783147.0
Afghanistan,1967,cereals_rice_milled_eqv,3124500.0,3694131.0,1.1823,13.41471875,9.303078962538352,1673333417.77778,-2.41730952262878,12.6862687216715,2046.87,58.2294589331984,1.85278199408184,10010030.0
Afghanistan,1967,maize,543000.0,768000.0,1.4143,13.41471875,9.303078962538352,1673333417.77778,-2.41730952262878,12.6862687216715,2046.87,58.2294589331984,1.85278199408184,10010030.0
Afghanistan,1968,cereals_rice_milled_eqv,3041500.0,3782133.0,1.2435,13.47184375,9.353985441992796,1373333366.66667,-2.41730952262878,12.6862687216715,2046.87,58.2309921346764,1.85278199408184,10247780.0
Afghanistan,1968,maize,453000.0,773000.0,1.7064,13.47184375,9.353985441992796,1373333366.66667,-2.41730952262878,12.6862687216715,2046.87,58.2309921346764,1.85278199408184,10247780.0
Afghanistan,1969,cereals_rice_milled_eqv,3081500.0,3902468.0,1.2664,13.815520833333332,9.407618804910664,1408888922.22222,-2.41730952262878,12.6862687216715,2046.87,58.2555233583245,1.85278199408184,10494489.0
Afghanistan,1969,maize,457000.0,785000.0,1.7177,13.815520833333332,9.407618804910664,1408888922.22222,-2.41730952262878,12.6862687216715,2046.87,58.2555233583245,1.85278199408184,10494489.0
Afghanistan,1970,cereals_rice_milled_eqv,3178000.0,3390121.0,1.0667,14.66734375,9.286242418169644,1748886595.55556,-2.41730952262878,12.6862687216715,2046.87,58.2708553731046,1.85278199408184,10752971.0
Afghanistan,1970,maize,452000.0,667000.0,1.4756,14.66734375,9.286242418169644,1748886595.55556,-2.41730952262878,12.6862687216715,2046.87,58.2708553731046,1.85278199408184,10752971.0
Afghanistan,1971,cereals_rice_milled_eqv,3400000.0,3202449.0,0.9418,14.643854166666666,9.068360276523237,1831108971.11111,-2.41730952262878,12.6862687216715,2046.87,58.3168514174448,1.85278199408184,11015857.0
